DomainID	Chr	StartLoc	EndLoc	Radius(nm)	EpiClass
660	3R	47050	163149	78.25	Active
661	3R	163150	205549	55.93	PcG
662	3R	205550	228949	45.88	Active
663	3R	228950	305349	68.06	Active
664	3R	305350	484449	90.42	Null
665	3R	484450	647449	87.62	Null
666	3R	647450	732949	70.67	PcG
667	3R	732950	777149	56.71	HP1_centromeric
668	3R	777150	795749	42.5	Null
669	3R	795750	952349	86.46	Null
670	3R	952350	1043349	72.15	Null
671	3R	1043350	1089449	57.52	Active
672	3R	1089450	1123949	52.22	Null
673	3R	1123950	1179549	61.22	Null
674	3R	1179550	1194249	39.29	Active
675	3R	1194250	1292049	73.9	Active
676	3R	1292050	1374249	69.75	Active
677	3R	1374250	1417949	56.5	Active
678	3R	1417950	1495849	68.51	Active
679	3R	1495850	1512449	40.92	Active
680	3R	1512450	1558749	57.6	Null
681	3R	1558750	1583449	46.71	Active
682	3R	1583450	1604849	44.53	Null
683	3R	1604850	1649149	56.76	Active
684	3R	1649150	1688549	54.58	Active
